Dataset,Position,Mean,95% CI Lower,95% CI Upper,N
Biology,first,0.486,0.482,0.49,56573
Biology,second,0.459,0.455,0.463,50364
Biology,other,0.435,0.433,0.437,183880
Biology,penultimate,0.345,0.341,0.349,45989
Biology,last,0.342,0.338,0.346,57353
Computational Biology,first,0.437,0.432,0.443,35913
Computational Biology,second,0.432,0.427,0.437,32365
Computational Biology,other,0.422,0.42,0.425,150226
Computational Biology,penultimate,0.313,0.308,0.318,29868
Computational Biology,last,0.312,0.308,0.317,37671
Bioinformatics,first,0.478,0.473,0.482,49423
Bioinformatics,second,0.462,0.458,0.466,46486
Bioinformatics,other,0.438,0.437,0.44,261141
Bioinformatics,penultimate,0.327,0.323,0.332,45453
Bioinformatics,last,0.332,0.328,0.336,52639
