Dataset,Position,PI Gender,Mean,95% CI Lower,95% CI Upper,N
Biology,first,Male,0.459,0.453,0.465,26872
Biology,first,Female,0.593,0.585,0.601,13977
Biology,second,Male,0.433,0.427,0.439,25056
Biology,second,Female,0.536,0.528,0.545,13084
Biology,other,Male,0.417,0.414,0.42,94657
Biology,other,Female,0.505,0.5,0.509,45640
Biology,penultimate,Male,0.318,0.312,0.324,22568
Biology,penultimate,Female,0.421,0.412,0.429,11777
Computational Biology,first,Male,0.41,0.404,0.417,19154
Computational Biology,first,Female,0.525,0.515,0.535,8568
Computational Biology,second,Male,0.413,0.406,0.421,17686
Computational Biology,second,Female,0.494,0.483,0.505,8073
Computational Biology,other,Male,0.409,0.406,0.413,82686
Computational Biology,other,Female,0.471,0.466,0.476,38425
Computational Biology,penultimate,Male,0.298,0.291,0.305,15982
Computational Biology,penultimate,Female,0.362,0.351,0.373,7462
Bioinformatics,first,Male,0.456,0.45,0.462,25636
Bioinformatics,first,Female,0.559,0.55,0.567,12703
Bioinformatics,second,Male,0.445,0.439,0.451,24416
Bioinformatics,second,Female,0.526,0.517,0.534,12152
Bioinformatics,other,Male,0.426,0.423,0.428,139668
Bioinformatics,other,Female,0.487,0.484,0.491,68864
Bioinformatics,penultimate,Male,0.314,0.308,0.32,23380
Bioinformatics,penultimate,Female,0.369,0.36,0.377,11925
