Search Category,Position,PI Gender,Mean,95% CI Lower,95% CI Upper,N
Biology,first,Male,0.459,0.453,0.464,26872
Biology,first,Female,0.593,0.584,0.601,13977
Biology,second,Male,0.433,0.427,0.438,25056
Biology,second,Female,0.536,0.528,0.544,13084
Biology,other,Male,0.417,0.414,0.42,94657
Biology,other,Female,0.505,0.5,0.509,45640
Biology,penultimate,Male,0.318,0.312,0.325,22568
Biology,penultimate,Female,0.42,0.411,0.43,11777
Bioinformatics,first,Male,0.607,0.458,0.75,42
Bioinformatics,first,Female,0.703,0.548,0.863,31
Bioinformatics,second,Male,0.573,0.415,0.72,41
Bioinformatics,second,Female,0.621,0.462,0.78,33
Bioinformatics,other,Male,0.608,0.537,0.674,177
Bioinformatics,other,Female,0.769,0.694,0.839,124
Bioinformatics,penultimate,Male,0.477,0.327,0.635,39
Bioinformatics,penultimate,Female,0.559,0.412,0.735,34
Overlap,first,Male,0.437,0.432,0.441,44748
Overlap,first,Female,0.545,0.538,0.552,21240
Overlap,second,Male,0.431,0.426,0.436,42061
Overlap,second,Female,0.513,0.507,0.52,20192
Overlap,other,Male,0.419,0.417,0.421,222177
Overlap,other,Female,0.481,0.478,0.484,107165
Overlap,penultimate,Male,0.307,0.303,0.312,39323
Overlap,penultimate,Female,0.366,0.359,0.372,19353
